Title,Year published,Categories,Sub Cat,Mutliplayer,Rating,Image,Game Description
Jackie Chan's Action Kung Fu,1990,Platform,N/A,FALSE,9/10,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Jackie_Chan%27s_Action_Kung_Fu_Coverart.png/220px-Jackie_Chan%27s_Action_Kung_Fu_Coverart.png,"The player controls Jackie Chan, the well-known martial arts stunt master, and brawls against many enemies during his quest to save his sister. The game is played through five levels (each with a boss at the end)."
John Madden Football ,1990,Sports,N/A,TRUE,9/10,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/John_Madden_Football_%281990%29_Coverart.png/220px-John_Madden_Football_%281990%29_Coverart.png,"The game includes various field conditions and audibles. The console versions use passwords for saves. It is played from above and behind the quarterback rather than from the side as most games of the time. As in the previous version, no actual NFL teams are included due to the lack of NFL or NFLPA licenses for authentic teams or player names."
Kid Dracula,1990,Platform,N/A,FALSE,6/10,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Akumajo_Special-Boku_Dracula-kun%21%28cover%29.jpg/220px-Akumajo_Special-Boku_Dracula-kun%21%28cover%29.jpg,"The story of Kid Dracula is relatively simple: the self-proclaimed Demon King, Kid Dracula, has awoken from a long sleep, only to discover that the dinosaur Galamoth has challenged him. Swiping his father's cape, it's then up to Kid Dracula himself to set out on a journey to destroy the monster and retake his throne."
King's Bounty,1990,Strategy,"Role-playing video game, Turn-based strategy",FALSE,9/10,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/King%27s_Bounty_Coverart.png/220px-King%27s_Bounty_Coverart.png,"The player leads the hero and his army across the four continents, acquiring up to 25 pieces of a map revealing the hidden location to the Sceptre of Order before King Maximus dies. Various details of this task are left to player's discretion, allowing for flexible gameplay. For instance, not all the scattered map sections are required; if the player is able to correctly determine the location of the sceptre's burial spot before acquiring all 25 map pieces, the game is won. If the sceptre is not recovered before King Maximus dies (the time varies depending on difficulty setting), the game ends in defeat. The location of the sceptre, the artifacts and which castles the villains inhabit are all randomized each game, adding to its replayability."
King's Quest V,1990,"Action, Adventure",N/A,FALSE,6/10,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/King%27s_Quest_V_-_Absence_Makes_the_Heart_Go_Yonder%21_Coverart.jpg/220px-King%27s_Quest_V_-_Absence_Makes_the_Heart_Go_Yonder%21_Coverart.jpg,"In the introduction to the game, a view of Castle Daventry is shown, when suddenly, a mysterious cloaked figure appears. He enchants the castle, causing a whirlwind to appear, which soon engulfs the castle and lifts it out of sight. Because he is out walking when this happens, King Graham is the only member of the royal family to be left behind. He returns to the castle to find that it has disappeared, and is soon confronted by a talking owl named Cedric."
Lagoon,1990,Action role-playing,N/A,FALSE,5/10,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Lagoon_Coverart.png/220px-Lagoon_Coverart.png,"Lakeland is a prosperous country full of many people and their families. All was great until something bad happened. It seems that Lakeland is having a bit of a water problem: Muddy Water. An evil being known as Zerah has polluted all of Lakeland's rivers and lakes, making people very sick, and some dying. He does this in hopes to release the Evil Spirit, which is hiding underneath Lagoon Castle, so Zerah lifts Lagoon Castle into the clouds to where no one can reach it. With all this, Lakeland needs a hero."
League Bowling,1990,Sports,N/A,TRUE,7/10,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/League_Bowling_arcade_flyer.jpg/220px-League_Bowling_arcade_flyer.jpg,an arcade game released in 1990 by SNK for the Neo Geo console and arcade systems. The players controls characters with red and blue hair and can select balls from 8 to 15 pounds. It is the only bowling game released on the Neo Geo.
The Legend of William Tell,1990,"Action, Adventure",N/A,FALSE,5/10,https://upload.wikimedia.org/wikipedia/en/6/6e/The_Legend_of_William_Tell_cover.jpg,The Legend of William Tell is a game in which the player is William Tell traveling through the English countryside and into the fortress of Austrian tyrant Gessler.
Mad Dog McCree,1990,Action,"Interactive movie, Light gun shooter",FALSE,3/10,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Mad_Dog_McCree_arcade_flyer.jpg/220px-Mad_Dog_McCree_arcade_flyer.jpg,"In a series of stages, the player must shoot enemies before they fire, avoid shooting innocent bystanders, and reload each time their six-round revolver is depleted of bullets. Shooting a bystander or getting hit by a gunfighter results in the loss of one life out of three and is followed by a clip showing the town doctor commenting on the player's actions."
Nail 'n' Scale,1990,Puzzle,N/A,TRUE,6/10,https://upload.wikimedia.org/wikipedia/en/c/ca/Nailnscale.jpg,"In Nail 'n' Scale, the player controls Spike, a skilled climber. The player works the way through levels of heightening difficulty. In each level, the player uses climbing spikes to navigate through the level to the door at the end of each level. The climbing spikes are also used to break bricks that block the path. There are 51 levels in all, with a boss on every tenth level."
Nemesis,1990,Action,Horizontal scrolling shooter,FALSE,5/10,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Nemesis_Cover_Art.jpg/250px-Nemesis_Cover_Art.jpg,"Nemesis retains the basic power-up meter commonly used in most Gradius games, but with the addition of multi-level missiles not present in the original Gradius. The game consists of only five stages, each with a unique core boss. Although it is also possible to access hidden bonus stages in which the player may collect 1-ups and score bonus cells. Like other Game Boy titles developed by Konami, the game presents the player with a stage selection screen before starting."
Ninja Gaiden,1990,Action,N/A,TRUE,8/10,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Ninja_Gaiden_%28Atari_Lynx%29_Cover.png/220px-Ninja_Gaiden_%28Atari_Lynx%29_Cover.png,"Ninja Gaiden is a side-scrolling action game in which the player controls a trainee ninja that must enter the sacred silent city in his quest to destroy the darkness and restore order. The ninja can jump, punch, kick and use weapons. The enemy opponents come in the form of: masked ninja, lumberjack ninja, clawed warrior, dark lord, black ninja, sumo wrestler and white ninja. The final boss is known as the dark lord who uses razor-sharp sabres. The game is on a timer where the player has 99 seconds to complete each level. If the player fails to complete the level in that time the player loses a life. There are a number of power-ups and treasures in the game from extra time to swords. There is also a scoring system of points for each enemy killed"
Nintendo World Cup,1990,Sports,N/A,FALSE,7/10,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Nintendo_World_Cup_Cover.jpg/220px-Nintendo_World_Cup_Cover.jpg,"Eight students known as Atsushi, Genei, Hiroshi, Kunio, Masa, Masahiro, Susumu and Takashi compete in a soccer tournament against 13 other high schools."
Operation Stealth,1990,Action,Adventure,FALSE,8/10,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Operation_Stealth.jpg/220px-Operation_Stealth.jpg,"Operation Stealth mainly features a point-and-click style of gameplay reminiscent of many of the LucasArts adventures of the time, as well as a number of more action-oriented elements, including an overhead viewed maze section and a scene in which Glames/Bond attempts to escape from an underwater cavern before he runs out of oxygen."
Popeye,1990,"Action, Puzzle",Maze,TRUE,5/10,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Popeyefront.jpg/220px-Popeyefront.jpg,"The scenario is a maze and the player controls Popeye who has a time limit to collect some hearts, find Olive Oyl and save Swee'Pea which only appears somewhere to be saved after the hearts were collected and Olive found."
A Prehistoric Tale,1990,"Platform, puzzle",N/A,TRUE,7/10,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/A_Prehistoric_Tale_cover_art_%28Amiga%29.jpg/220px-A_Prehistoric_Tale_cover_art_%28Amiga%29.jpg,The game has both puzzle and platformer elements to it. It has 80 levels and can either be played single player or simultaneous two-player.
The Punisher,1990,Action,Rail shooter,FALSE,9/10,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/Cover_to_1990_Punisher_NES_game.jpg/220px-Cover_to_1990_Punisher_NES_game.jpg,"The player controls the Punisher from an over-the-shoulder third-person perspective through various New York City locations, shooting thugs and battling supervillains Hitman, Jigsaw, Colonel Kliegg, Sijo Kanaka, and Assassin as bosses. The final boss is the Kingpin. Power-ups can be obtained by shooting them and include extra ammunition, a med kit, Kevlar, a bazooka, a machine gun, and grenades."
Raiden ,1990,Action,Vertically scrolling shooter,TRUE,6/10,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Raiden_arcadeflyer.png/220px-Raiden_arcadeflyer.png,"Raiden is a vertically scrolling shoot 'em up game consisting of eight stages of increasing difficulty. In each stage, the player maneuvers the Fighting Thunder craft, engaging various enemies and avoiding their attacks. In cooperative play, both players can generate special projectiles that damage enemies by shooting the other player craft. After completing the eighth and final stage, the player returns to the first stage with the difficulty increased."
Riding Hero,1990,Racing,"	Racing RPG",TRUE,4/10,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Riding_Hero_arcade_flyer.jpg/220px-Riding_Hero_arcade_flyer.jpg,"Riding Hero is a racing game that uses a behind-the-motorcycle perspective similar to Super Hang-On and Suzuka 8 Hours featuring a Grand Prix mode, a role-playing single-player campaign mode reminiscent of Final Lap Twin, as well as a multiplayer mode like most other racing titles released in the era. In the grand prix mode, players compete against AI-controlled racers on a worldwide Grand Prix tour in order to become the champion, while up to two human players can compete on versus matches in the multiplayer mode by connecting two Neo Geo systems via LAN. Every race in the game is timed and if the players fails regain time by completing a lap, the game is over unless the player inserts more credits into the arcade machine to continue playing. If a memory card is present, players are allowed to save their progress during the single-player campaign at the protagonist's home and resume the last point the game was saved at."
The Secret of Monkey Island,1990,Action,Graphic adventure,FALSE,8/10,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/The_Secret_of_Monkey_Island_artwork.jpg/220px-The_Secret_of_Monkey_Island_artwork.jpg,"The Secret of Monkey Island is a 2D adventure game played from a third-person perspective. Via a point-and-click interface, the player guides protagonist Guybrush Threepwood through the game's world and interacts with the environment by selecting from twelve verb commands (nine in newer versions) such as ""talk to"" for communicating with characters and ""pick up"" for collecting items between commands and the world's objects in order to successfully solve puzzles and thus progress in the game. While conversing with other characters, the player may choose between topics for discussion that are listed in a dialog tree; the game is one of the first to incorporate such a system. The in-game action is frequently interrupted by cutscenes. Like other LucasArts adventure games, The Secret of Monkey Island features a design philosophy that makes the player character's death nearly impossible (Guybrush does drown if he stays underwater for more than ten minutes)."
Sentinel ,1990,Action,Shoot 'em up,TRUE,1/10,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Sentinel_cartridge_cover.jpg/220px-Sentinel_cartridge_cover.jpg,"The player takes control of a scientist piloting a glowing orb they invented named the Sentinel, which can absorb and store energy. When aliens invade Earth, the scientist journeys in the Sentinel to four alien planets – Alptaurus, Ceruptus, Vulnavium, and Asceptron – to destroy their power stations, each guarded by an alien lord Upon destroying these four worlds, the scientist encounters the entity who controlled the alien lords and defeats it."
Shadow of the Beast II,1990,"Platform",N/A,FALSE,2/10,https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/Shadow_of_the_beast_2_cover_art.jpg/220px-Shadow_of_the_beast_2_cover_art.jpg,"Shadow of the Beast II finds the hero Aarbron in half-beast form, wandering the lands of Karamoon in search of his kidnapped sister. She had been taken away from her mother's cottage by the dragon-form of the Beast Mage, Zelek, servant to Maletoth. Along the way, Aarbron befriends the wise dragon Barloom and must defeat the evil dragon Ishran. Tree Pygmies in the forest and the goblins in the Crystal Caverns serve as foes."
Skate or Die 2: The Search for Double Trouble,1990,Adventure,Adventure/Skateboarding,FALSE,5/10,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Skate_or_Die_2_Cover.PNG/220px-Skate_or_Die_2_Cover.PNG,"Skate or Die 2 is a side scrolling game, though the player can return to previously visited areas. The hero has a variety of skateboarding moves and weapons at his disposal, the controls for which can be programmed by the player. The hero's primary weapon is his paintball gun, though he can also throw eggs and firecrackers at his opponents. The game also has a bartering system. During the journey the hero can pick up CDs, cassette tapes, French fries, and tacos. These items can be traded with Rodney and Lester for new tricks and skateboards."
Skateball,1990,Sports,N/A,TRUE,7/10,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Skateball_Cover.jpg/220px-Skateball_Cover.jpg,A Skateball match is played by two teams on an ice court with steel walls and ball. There are several different courts with holes and other lethal obstacles. The game lacks any rules and any kind of contact is allowed.
Snoopy's Magic Show,1990,"Action, puzzle, strategy",N/A,TRUE,6/10,https://upload.wikimedia.org/wikipedia/en/thumb/b/b1/Snoopy-no-Magic-Show-NA.jpg/220px-Snoopy-no-Magic-Show-NA.jpg,"The player controls Snoopy who has to save four Woodstocks, within a fixed amount of time, by dodging bouncing balls, pushing blocks, using warp zones and power-ups. There are 120 levels with a unique password to access each. In the multiplayer mode, one player is Spike while the other is Snoopy."
The Spy Who Loved Me,1990,"Action, Adventure","Crime, Family, Thriller",FALSE,7/10,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/The_Spy_Who_Loved_Me_video_game_cover.jpg/220px-The_Spy_Who_Loved_Me_video_game_cover.jpg,"The Spy Who Loved Me is a top-down shooter game in which the player navigates James Bond driving Wet Nellie, a modified Lotus Esprit. It features the characters from the film and some new characters."
Steel Gunner,1990,Action,First-person shooter,TRUE,7/10,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Steel_Gunner_flyer.jpg/220px-Steel_Gunner_flyer.jpg,"Steel Gunner is a light gun shooter video game. The plot stars the police officers Garcia and Cliff, who are members of the Neo Arc police force that use mecha suits named ""Gargoyles"" equipped with powerful weapons. Garcia and Cliff are assigned by the Neo Arc to destroy the terrorist organization STURM, who have captured the scientist Dr. Ryan and his assistant Dr. Ellis to create a world-ending superweapon. Gameplay revolves around using a light gun to control a crosshair around the screen while shooting enemies Players have infinite ammunition and do not need to reload their weapons. Players also have access to a limited number of screen-clearing missiles."
Stellar 7,1990,Action,"First-person shooter, vehicle simulation",FALSE,10/10,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Stellar_7_cover.jpg/220px-Stellar_7_cover.jpg,"The player's tank, the Raven, has a front-facing cannon with an unlimited supply of bullets. The cannon can fire up to two shots at a time. The tank also has a cloaking device that, when triggered, would render it invisible to enemies for about a minute. Gauges on the right side of the screen indicate the amount of shields and power remaining. The tank starts with enough power to cloak twice, and power slowly trickles away as the time passes. The game ends when either shields or power runs out."
Strider II,1990,Platform,N/A,FALSE,6/10,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/US_Gold_Strider_II_ad.jpg/220px-US_Gold_Strider_II_ad.jpg,"The objective of the game is to rescue the Princess of Planet Magenta from a terrorist group that is keeping her captive. The controls in the computer version are similar to U.S. Gold's home computer ports of the original Strider, although the character cannot slide nor climb ceilings like in the original game. However, he can still climb walls, as well as ropes. In addition to his cypher, he can also use a rifle whenever he is standing still. If the player character has collected enough energy icons throughout each stage, he will transform into a wheeled robot when confronting the boss at the end of each stage. As a robot, Strider can shoot lasers, but cannot jump nor crouch. His robot form has a separate health gauge from his regular health gauge as a human. When his robot gauge runs out, he will transform back to a human. The game consists of five stages."
Super Buster Bros,1990,Action,Shooter,TRUE,7/10,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Super_Buster_Bros._SNES.png/220px-Super_Buster_Bros._SNES.png,"The object of the game is to use a gun to pop bubbles that bounce around the screen. There are two different modes: Panic mode and Arcade mode. Similarly to Asteroids, when a player pops a bubble, it splits into two smaller bubbles. Sufficiently small bubbles simply vaporize when popped. Occasionally, monsters walk or fly on to the screen. When the player character touches the bubble or the timer reaches zero, they die. Monsters can also pop bubbles. Although the arcade game and the PlayStation version included in Buster Bros. Collection allow two players to play simultaneously, the Super NES version only has one player mode. Powerups are found by popping certain bubbles, shooting boxes, or shooting certain unmarked spots in the level. The gun power-ups cannot be used in conjunction with each other."
Tactic ,1990,Puzzle,N/A,TRUE,6/10,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Tactic-loadscreen.png/220px-Tactic-loadscreen.png,"Tactic is a falling block puzzle as popularised by the game Tetris. Unlike that game, all of the blocks are the same size but are a number of different colours (and on systems that cannot display enough colours, different shapes). The aim of the game is to drop the blocks so that blocks of the same colour form set patterns (e.g. a line in a set direction or a cross). The patterns required to complete the level are shown at the bottom of the screen. If a required pattern is formed, those blocks disappear causing any blocks resting above to fall. The iOS version adds bombs."
Tennis Cup,1990,Sports,N/A,TRUE,8/10,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Tennis_Cup_cover.jpg/220px-Tennis_Cup_cover.jpg,"The screen is split horizontally with both players seen from a behind the back viewpoint, even in single-player. The player is competing against 32 computer players, each with their own skills and weaknesses. You can adjust your skills at the beginning, with six basic types of shots to choose from: service, forehand, backhand, forehand volley, backhand volley, and smash. At first, each type has a 50% skill rating, but there are 30 percentage points to distribute. One type of shot can be weakened to strengthen another. New computer players can be created by adjusting the percentages and they can be saved to a disk. In practice mode, the player can play against a ball machine. There are four court types: clay, indoor, hard, or grass. There are five tournaments: Wimbledon, US Open, Australian Open, French Open, and Davis Cup. They can be entered individually, or in a marathon-style championship that links all five competitions together."
Tetris,1990,Puzzle,N/A,FALSE,8/10,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Tetris_NES_cover_art.jpg/220px-Tetris_NES_cover_art.jpg,"This version of Tetris has two modes of play: A-Type and B-Type. In A-Type play, the goal is to achieve the highest score. As lines are cleared, the level advances and increases the speed of the falling blocks. At the beginning of a B-Type game, the board starts with randomized obstacle blocks at the bottom of the field, and the goal is to clear 25 lines. In B-Type, the level remains constant, and the player chooses the height of the obstacle beforehand."
Thunder Force III,1990,Action,Scrolling shooter,FALSE,9/10,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Thunder_Force_III_cover.jpg/220px-Thunder_Force_III_cover.jpg,"For Thunder Force III, the free-directional, overhead stage format featured in the previous two games is removed and replaced entirely by the horizontally scrolling stage format. The horizontal format became the new standard for the series. The player is allowed to choose which of the initial five planets (Hydra, Gorgon, Seiren, Haides, and Ellis), to start on. After the first five stages are completed, the game continues for three more stages into ORN headquarters."
Todd's Adventures in Slime World,1990,"Action, Adventure",N/A,TRUE,7/10,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Todd%27s_Adventures_in_Slime_World_cover_art_%28Atari_Lynx%29.jpg/220px-Todd%27s_Adventures_in_Slime_World_cover_art_%28Atari_Lynx%29.jpg,"Todd's Adventures in Slime World is a 2D platform game, with multidirectional shooting and metroidvanie-style maps.The main character of the game is Todd the explorer, who enters Slime World to search for gems. Todd starts the game with a water pistol and computer generated map. Players in Slime World are armed with a water cannon that can be fired at many angles and can kill most enemies in one hit, cling to and climb most walls, and perform high and long jumps. Although nominally an action game, many rooms require knowledge of the player's abilities and can only be navigated in certain ways, frequently giving it an air of a puzzle game."
Uncharted Waters,1990,Role-playing,N/A,FALSE,7/10,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Uncharted_Waters_Cover.jpg/220px-Uncharted_Waters_Cover.jpg,"Uncharted Waters is a game in which player captains seek great trade wind routes and the major currents. The story is set in the early 16th century. It was released on the PC-88 in May, 1990."
Unreal,1990,Platform,Rail shooter,FALSE,8/10,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Unreal_Ubisoft_cover.png/220px-Unreal_Ubisoft_cover.png,"The game combined two different gameplay genres. Both Galaxy Force and Rastan Saga were inspirations for the game. In five of the chapters, the player (as Artaban) guides Dracus as they fly over a natural landscape (forests, river canyons, glaciers or seas of lava). The gameplay of those levels are of a 3d scrolling shooters, the view being from behind Dracus. The player must avoid obstacles (like trees or spires of rock) and adversaries that come from the distance. Dracus fires fireballs that can destroy some of the monsters or parts of the scenery."
Valis III,1990,"	Action, platform",N/A,FALSE,6/10,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Valis_III_cover.png/220px-Valis_III_cover.png,"Like its predecessors, Valis III is an action-platform game starring Yuko Asou, wielder of the mystical Valis sword, and is set after the events of Valis II. Together with her two allies, Valna and Cham, Yuko must prevent the Dark World's king, Glames, from destroying Vecanti and Earth, who, in turn, is wielding the sword Leethus. The player controls Yuko through two-dimensional levels, battling enemies, jumping from ledge to ledge, and running until the player faces a boss at the end of each level.At certain points in the game, gameplay pauses, and a cinematic cutscene plays regarding the game's storyline."
Warhead,1990,Simulator,Space combat simulator,FALSE,9/10,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Warhead_Coverart.png/220px-Warhead_Coverart.png,"The story revolves around the fight between the forces of Sirius and the humans of Earth. The player has been enrolled as a fighter pilot for the ""Fist of Earth"" space force. The player is led to believe that the forces of Sirius have attacked humans for an unknown reason. The enemy are an insect-like species from the star system Sirius. It is suspected that their present evolutionary form was achieved at the time there were non-avian dinosaurs on Earth. It is also theorised that insects on Earth and Sirius share the same ancestor."
Wolfpack,1990,Simulator,Submarine simulator,TRUE,8/10,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Wolfpack_cover.jpg/220px-Wolfpack_cover.jpg,"The player can choose to command either side, the wolfpack or the convoy, with the computer controlling the enemy vessels. At any time the player may take command of any vessel in their group, including of the tankers and freighters which each carry a single gun. Each vessel can be set to remain on course or at rest, or to act under computer control while the player controls another vessel. This feature helped pave the way for many modern day real-time strategy video games."
X-Men II: The Fall of the Mutants,1991,"Action, Adventure",N/A,TRUE,6/10,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/X-Men_II_-_Fall_of_the_Mutants_%28computer_game_box_art%29.jpg/220px-X-Men_II_-_Fall_of_the_Mutants_%28computer_game_box_art%29.jpg,"The game uses an overhead view during normal play as characters move around the map, as they look for enemies, health crates, and traps. When the X-Men encounter an enemy, the game switches to a side view close-up during the battle scenes. In each level the object is to search for a pair of Freedom Force members and defeat them in battle, but only the defeat of one villain will send the player's team to the next level. After completing enough levels the heroes are thrust into battle with the Adversary himself."
Xenomorph ,1990,Role-playing,Dungeon Crawl,FALSE,9/10,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Xenomorph_Amiga_Cover_art.jpg/220px-Xenomorph_Amiga_Cover_art.jpg,"Xenomorph is a science-fiction role-playing video game, viewed from a first-person perspective with an icon-driven interface that drew comparisons with Dungeon Master. The storyline is influenced by the early Alien franchise. The player controls a janitor on a two-year supply run to Sirius who wakes from cryosleep after traversing hyperspace (the big empty) to find his ship, the Mombassa Oak, has been crippled on arrival at its destination (part of it remaining in hyperspace) leaving the ship's computer system failing. The janitor manually pilots the failing ship to the mining platform, Astargatis, to find that the human population has vanished. The player must search the platform for microchips and fuel rods that can be used to repair the Mombassa Oak. In addition, the player character must defend himself against the aliens that are responsible for the attack on Astargatis. The player needs to manage weapons, medical supplies, keycard access, food, energy, and radiation levels in order to survive. The Atari ST version, if not all versions, was released incomplete. No enemies re-spawned so that after reaching the objective the player was left to wander through a largely empty base to escape. In addition the food and radiation damage did not work and it was impossible to die from these effects. The game included a communicator system but never implemented any communications using it."
Yogi's Great Escape,1990,Platform,N/A,FALSE,8/10,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Yogi%27s_Great_Escape_game_cover.jpg/220px-Yogi%27s_Great_Escape_game_cover.jpg,"Yogi's Great Escape is a side-scrolling platform game in which the player takes control of Yogi Bear In the game, Yogi learns that Jellystone Park is set to close, and its animal inhabitants will be moved to a zoo. Yogi does not like the idea of living in a zoo, so he decides to escape to New York City. Gameplay takes place across six levels: Jellystone Park, a forest, a Wild West setting, a marsh, a fun fair, and New York City."
Zombie Nation,1990,Action,"	Shoot 'em up",FALSE,8/10,https://upload.wikimedia.org/wikipedia/en/e/e4/Zombienation.jpg,"Depending on the version of the game, the player controls the giant levitating disembodied samurai head Namakubi (生首, namakubi, lit. ""severed head"") or a giant Tengu mask. The player can destroy structures and enemies by shooting rapid-fire eyeballs and vomit at them Enemies include zombie snipers, zeppelins and lava monsters. The player can upgrade their firepower by rescuing zombie hostages that leap out of structures when destroyed."
