Title,Rating,Year published,Game Description
Tactic ,6/10,1990,"Tactic is a falling block puzzle as popularised by the game Tetris. Unlike that game, all of the blocks are the same size but are a number of different colours (and on systems that cannot display enough colours, different shapes). The aim of the game is to drop the blocks so that blocks of the same colour form set patterns (e.g. a line in a set direction or a cross). The patterns required to complete the level are shown at the bottom of the screen. If a required pattern is formed, those blocks disappear causing any blocks resting above to fall. The iOS version adds bombs."
Tennis Cup,8/10,1990,"The screen is split horizontally with both players seen from a behind the back viewpoint, even in single-player. The player is competing against 32 computer players, each with their own skills and weaknesses. You can adjust your skills at the beginning, with six basic types of shots to choose from: service, forehand, backhand, forehand volley, backhand volley, and smash. At first, each type has a 50% skill rating, but there are 30 percentage points to distribute. One type of shot can be weakened to strengthen another. New computer players can be created by adjusting the percentages and they can be saved to a disk. In practice mode, the player can play against a ball machine. There are four court types: clay, indoor, hard, or grass. There are five tournaments: Wimbledon, US Open, Australian Open, French Open, and Davis Cup. They can be entered individually, or in a marathon-style championship that links all five competitions together."
Tetris,8/10,1990,"This version of Tetris has two modes of play: A-Type and B-Type. In A-Type play, the goal is to achieve the highest score. As lines are cleared, the level advances and increases the speed of the falling blocks. At the beginning of a B-Type game, the board starts with randomized obstacle blocks at the bottom of the field, and the goal is to clear 25 lines. In B-Type, the level remains constant, and the player chooses the height of the obstacle beforehand."
Thunder Force III,9/10,1990,"For Thunder Force III, the free-directional, overhead stage format featured in the previous two games is removed and replaced entirely by the horizontally scrolling stage format. The horizontal format became the new standard for the series.

The player is allowed to choose which of the initial five planets (Hydra, Gorgon, Seiren, Haides, and Ellis), to start on. After the first five stages are completed, the game continues for three more stages into ORN headquarters."
Todd's Adventures in Slime World,7/10,1990,"Todd's Adventures in Slime World is a 2D platform game, with multidirectional shooting and metroidvanie-style maps.The main character of the game is Todd the explorer, who enters Slime World to search for gems. Todd starts the game with a water pistol and computer generated map. Players in Slime World are armed with a water cannon that can be fired at many angles and can kill most enemies in one hit, cling to and climb most walls, and perform high and long jumps. Although nominally an action game, many rooms require knowledge of the player's abilities and can only be navigated in certain ways, frequently giving it an air of a puzzle game."
Uncharted Waters,7/10,1990,"Uncharted Waters is a game in which player captains seek great trade wind routes and the major currents. The story is set in the early 16th century. It was released on the PC-88 in May, 1990."
Unreal,8/10,1990,"The game combined two different gameplay genres. Both Galaxy Force and Rastan Saga were inspirations for the game.

In five of the chapters, the player (as Artaban) guides Dracus as they fly over a natural landscape (forests, river canyons, glaciers or seas of lava). The gameplay of those levels are of a 3d scrolling shooters, the view being from behind Dracus. The player must avoid obstacles (like trees or spires of rock) and adversaries that come from the distance. Dracus fires fireballs that can destroy some of the monsters or parts of the scenery."
Valis III,6/10,1990,"Like its predecessors, Valis III is an action-platform game starring Yuko Asou, wielder of the mystical Valis sword, and is set after the events of Valis II. Together with her two allies, Valna and Cham, Yuko must prevent the Dark World's king, Glames, from destroying Vecanti and Earth, who, in turn, is wielding the sword Leethus. The player controls Yuko through two-dimensional levels, battling enemies, jumping from ledge to ledge, and running until the player faces a boss at the end of each level.At certain points in the game, gameplay pauses, and a cinematic cutscene plays regarding the game's storyline."
Warhead,9/10,1990,"The story revolves around the fight between the forces of Sirius and the humans of Earth. The player has been enrolled as a fighter pilot for the ""Fist of Earth"" space force. The player is led to believe that the forces of Sirius have attacked humans for an unknown reason.

The enemy are an insect-like species from the star system Sirius. It is suspected that their present evolutionary form was achieved at the time there were non-avian dinosaurs on Earth. It is also theorised that insects on Earth and Sirius share the same ancestor."
Wolfpack,8/10,1990,"The player can choose to command either side, the wolfpack or the convoy, with the computer controlling the enemy vessels. At any time the player may take command of any vessel in their group, including of the tankers and freighters which each carry a single gun. Each vessel can be set to remain on course or at rest, or to act under computer control while the player controls another vessel. This feature helped pave the way for many modern day real-time strategy video games."
X-Men II: The Fall of the Mutants,6/10,1991,"The game uses an overhead view during normal play as characters move around the map, as they look for enemies, health crates, and traps. When the X-Men encounter an enemy, the game switches to a side view close-up during the battle scenes. In each level the object is to search for a pair of Freedom Force members and defeat them in battle, but only the defeat of one villain will send the player's team to the next level. After completing enough levels the heroes are thrust into battle with the Adversary himself."
Xenomorph ,9/10,1990,"Xenomorph is a science-fiction role-playing video game, viewed from a first-person perspective with an icon-driven interface that drew comparisons with Dungeon Master. The storyline is influenced by the early Alien franchise. The player controls a janitor on a two-year supply run to Sirius who wakes from cryosleep after traversing hyperspace (the big empty) to find his ship, the Mombassa Oak, has been crippled on arrival at its destination (part of it remaining in hyperspace) leaving the ship's computer system failing. The janitor manually pilots the failing ship to the mining platform, Astargatis, to find that the human population has vanished. The player must search the platform for microchips and fuel rods that can be used to repair the Mombassa Oak. In addition, the player character must defend himself against the aliens that are responsible for the attack on Astargatis. The player needs to manage weapons, medical supplies, keycard access, food, energy, and radiation levels in order to survive. The Atari ST version, if not all versions, was released incomplete. No enemies re-spawned so that after reaching the objective the player was left to wander through a largely empty base to escape. In addition the food and radiation damage did not work and it was impossible to die from these effects. The game included a communicator system but never implemented any communications using it."
Yogi's Great Escape,8/10,1990,"Yogi's Great Escape is a side-scrolling platform game in which the player takes control of Yogi Bear In the game, Yogi learns that Jellystone Park is set to close, and its animal inhabitants will be moved to a zoo. Yogi does not like the idea of living in a zoo, so he decides to escape to New York City. Gameplay takes place across six levels: Jellystone Park, a forest, a Wild West setting, a marsh, a fun fair, and New York City."
Zombie Nation,8/10,1990,"Depending on the version of the game, the player controls the giant levitating disembodied samurai head Namakubi (生首, namakubi, lit. ""severed head"") or a giant Tengu mask. The player can destroy structures and enemies by shooting rapid-fire eyeballs and vomit at them Enemies include zombie snipers, zeppelins and lava monsters. The player can upgrade their firepower by rescuing zombie hostages that leap out of structures when destroyed."
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
,,1990,
